,Peliculas,Director,Rating
0,The Godfather  (1972),Francis Ford Coppola,9.0
1,The Godfather: Part II  (1974),Francis Ford Coppola,8.9
2,The Wire (TV Series) (2002),"David Simon (Creator), Joe Chappelle, Ernest R. Dickerson",8.9
3,Breaking Bad (TV Series) (2008),"Vince Gilligan (Creator), Michelle MacLaren, Adam Bernstein",8.8
4,12 Angry Men  (1957),Sidney Lumet,8.7
5,Schindler's List  (1993),Steven Spielberg,8.6
6,Witness for the Prosecution  (1957),Billy Wilder,8.6
7,City Lights  (1931),Charles Chaplin,8.6
8,The Simpsons (TV Series) (1989),"Matt Groening (Creator), Sam Simon (Creator), James L. Brooks (Creator)",8.6
9,The Shawshank Redemption  (1994),Frank Darabont,8.6
